1	1	1	NULL	1	1	NULL	Régi szép idők	2019-01-02 01:11:35	
2	2	1	NULL	2	1	NULL	Mennyivel jobbak voltak akkor a gyerekek	2019-01-04 01:47:01	
3	1	2	NULL	1	1	NULL	Ebben az évben is jól érezték magukat a gyerekek. :)	2019-01-05 02:00:14	
4	2	2	3	2	2	1	Csak ne rendetlenkedtek volna annyit. :|	2019-01-06 02:40:09	
5	6	2	4	3	3	2	Na azért nem voltunk olyan rosszak!	2019-01-06 06:17:53	2019-01-06 06:22:40
6	7	2	4	4	3	2	Velem nem volt semmi gond. :\	2019-01-07 06:37:32	2019-01-07 06:49:20
7	8	2	3	5	2	1	Az esti Tiszaparti bulik valóban jók voltak :P	2019-01-08 07:35:13	
8	9	2	NULL	6	1	NULL	Nekem a járás nevezetességei is nagyon tetszettek.	2019-01-08 08:28:33	
9	6	2	8	7	2	6	Csak kár, hogy pont az állatkertben nem voltunk.	2019-01-09 08:37:21	
10	8	2	9	8	3	7	Úgy se tudtuk volna egy nap bejárni.	2019-01-09 10:05:12	
11	6	2	10	9	4	8	Azért lett volna jó megszálni helyben a dinós szállodában ;)	2019-01-10 10:18:18	2019-01-10 11:05:50
12	4	2	11	10	5	9	Az nagyon drága fiúk, lányok: ennyire már nem húzhattuk le a szülőket. $-D	2019-01-10 11:13:55	
13	7	2	NULL	11	1	NULL	Én a vizividámpark csúszdáit élveztem a legjobban, no meg a hullámmedencét! <3	2019-01-10 11:24:57	
14	9	2	13	12	2	11	Azok nekem is nagyon bejöttek, de én még a motorcsónakos vizsízést szerettem volna nagyon kipróbálni, de ... féltem 8-|	2019-01-11 11:35:48	2019-01-11 12:06:10
15	8	2	14	13	3	12	Sajnálhatod, mert az nagyon ász volt :-x	2019-01-11 12:43:31	2019-01-11 13:33:01
16	3	3	NULL	1	1	NULL	Megint jó sok kódsor vár minden szoftverfejlesztőt :-)	2019-01-12 14:20:35	
17	6	4	NULL	1	1	NULL	Az Access vizsgától egy kicsit tartok: a bonyolultabb lekérdezések nem nagyon mennek.	2019-01-12 15:24:33	2019-01-12 15:25:17
18	7	4	NULL	2	1	NULL	Az Excel formázásokig még megy is. De némely összetetteb függvény már nehézséget okoz.	2019-01-12 16:41:08	
19	4	5	NULL	1	1	NULL	Nagyon szépen táncoltak a gyerekek.	2019-01-12 16:37:51	
20	5	5	NULL	2	1	NULL	Kár, hogy már nincsen tanári tánc.	2019-01-12 18:47:49	
21	6	5	20	3	2	2	Elég vicces volt néhány tanár :D	2019-01-13 09:01:32	
22	7	6	NULL	1	1	NULL	Vajon elég lesz ennyi idő egy-egy vizsgarészre? :O	2019-01-13 18:52:53	
23	8	6	22	2	2	1	Nyugi, lehet majd nyomtatott jegyzetet használni.	2019-01-14 20:46:11	
24	9	6	NULL	3	1	NULL	Én lehet, hogy halasztok :(		2019-01-16 13:22:38
25	8	7	NULL	1	1	NULL	Hát ... elég vacak a kaja :/	2019-01-13 19:20:10	
26	6	7	25	2	2	1	Meg kevés is :S	2019-01-14 20:39:11	